date,permno,prc,ret,vol,shrout,bid,ask,ticker,market_cap,spread
2020-12-29,14593,134.87,-0.013315,120941073.0,16823263.0,134.89,134.92999,NVDA,2268953480.81,0.03999000000001729
2020-12-30,14593,133.72,-0.008527,95485520.0,16823263.0,133.71001,133.72,NVDA,2249606728.36,0.009989999999987731
2020-12-31,14593,132.69,-0.007703,99039105.0,16823263.0,132.58,132.61,NVDA,2232278767.47,0.030000000000001137
2021-01-04,14593,129.41,-0.024719,143186134.0,16823263.0,129.39999,129.41,NVDA,2177098464.83,0.01000999999999408
2021-01-05,14593,131.00999,0.012364,97570488.0,16823263.0,130.95,130.96001,NVDA,2204015517.39737,0.010010000000022501
2021-01-06,14593,126.6,-0.033662,154976358.0,16823263.0,126.58,126.68,NVDA,2129825095.8,0.10000000000000853
2021-01-07,14593,130.92,0.034123,109524093.0,16823263.0,130.85001,130.86,NVDA,2202501591.9599996,0.009990000000016153
2021-01-08,14593,132.05,0.008631,105069120.0,16823263.0,131.98,131.99001,NVDA,2221511879.15,0.010010000000022501
2021-01-11,14593,128.98,-0.023249,100572235.0,16823263.0,128.97,128.98,NVDA,2169864461.74,0.009999999999990905
2021-01-12,14593,128.8,-0.001396,91934932.0,16823263.0,128.8,128.83,NVDA,2166836274.4,0.030000000000001137
2021-01-13,14593,130.89,0.016227,88570905.0,16823263.0,130.88,130.89,NVDA,2201996894.0699997,0.009999999999990905
2021-01-14,14593,128.91,-0.015127,90068223.0,16823263.0,128.91,128.92,NVDA,2168686833.33,0.009999999999990905
2021-01-15,14593,127.14,-0.013731,113824189.0,16788096.0,127.07,127.08,NVDA,2134438525.44,0.010000000000005116
2021-01-19,14593,127.83,0.005427,90721126.0,16788096.0,127.82,127.84,NVDA,2146022311.68,0.020000000000010232
2021-01-20,14593,132.03,0.032856,104266089.0,16788096.0,131.97,131.98,NVDA,2216532314.88,0.009999999999990905
2021-01-21,14593,136.87,0.036658,120558946.0,16788096.0,136.86,136.87,NVDA,2297786699.52,0.009999999999990905
2021-01-22,14593,139.07001,0.016074,114389452.0,16788096.0,138.92999,138.97,NVDA,2334720678.60096,0.040009999999995216
2021-01-25,14593,142.92,0.027684,157582465.0,16788096.0,142.88,142.89999,NVDA,2399354680.3199997,0.019990000000007058
2021-01-26,14593,143.16,0.001679,98344597.0,16788096.0,143.17999,143.19,NVDA,2403383823.36,0.01000999999999408
2021-01-27,14593,142.06,-0.007684,142354672.0,16788096.0,142.42999,142.58,NVDA,2384916917.76,0.15001000000000886
2021-01-28,14593,137.09,-0.034985,142513841.0,16788096.0,137.03999,137.09,NVDA,2301480080.64,0.05001000000001454
2021-01-29,14593,131.96001,-0.037421,177453210.0,16788096.0,131.8,131.83,NVDA,2215357316.0409603,0.030000000000001137
2021-02-01,14593,134.14,0.01652,106188262.0,16788096.0,134.10001,134.11,NVDA,2251955197.4399996,0.009990000000016153
2021-02-02,14593,134.99001,0.006337,83261091.0,16788096.0,134.98,134.99001,NVDA,2266225246.9209604,0.010010000000022501
2021-02-03,14593,133.94,-0.007778,89846834.0,16788096.0,133.89999,133.91,NVDA,2248597578.24,0.01000999999999408
2021-02-04,14593,137.39,0.025758,84143094.0,16788096.0,137.39,137.39999,NVDA,2306516509.4399996,0.009990000000016153
2021-02-05,14593,136.75999,-0.003093,75841114.0,16788096.0,136.75999,136.77,NVDA,2295939841.0790396,0.010010000000022501
2021-02-08,14593,136.91,0.001097,71251676.0,16788096.0,136.89999,136.91,NVDA,2298458223.36,0.01000999999999408
2021-02-09,14593,136.00999,-0.006574,76741441.0,16788096.0,135.99001,136.0,NVDA,2283348769.0790396,0.009989999999987731
2021-02-10,14593,135.39,-0.004558,73006258.0,16788096.0,135.35001,135.37,NVDA,2272940317.4399996,0.019990000000007058
2021-02-11,14593,135.13,-0.00192,64374429.0,16788096.0,135.12,135.13,NVDA,2268575412.48,0.009999999999990905
2021-02-12,14593,135.37,0.001776,60094459.0,16788096.0,135.37,135.38,NVDA,2272604555.52,0.009999999999990905
2021-02-16,14593,133.19,-0.016104,80509624.0,16788096.0,133.16,133.17,NVDA,2236006506.24,0.009999999999990905
2021-02-17,14593,130.84,-0.017644,98053909.0,16788096.0,130.84,130.85001,NVDA,2196554480.64,0.01000999999999408
2021-02-18,14593,129.71001,-0.008636,97162779.0,16788096.0,129.71001,129.74001,NVDA,2177584100.0409603,0.030000000000001137
2021-02-19,14593,129.87,0.001233,87585271.0,16788096.0,129.83,129.87,NVDA,2180270027.52,0.03999999999999204
2021-02-22,14593,126.0,-0.029799,103812090.0,16788096.0,126.0,126.01,NVDA,2115300096.0,0.010000000000005116
2021-02-23,14593,125.86,-0.001111,158135137.0,16788096.0,125.85,125.86,NVDA,2112949762.56,0.010000000000005116
2021-02-24,14593,125.35,-0.004052,110976944.0,16788096.0,125.31,125.32,NVDA,2104387833.6,0.009999999999990905
2021-02-25,14593,120.99,-0.034783,148045165.0,16788096.0,120.99,121.0,NVDA,2031191735.04,0.010000000000005116
2021-02-26,14593,121.26,0.002232,164264783.0,16788096.0,121.2,121.28,NVDA,2035724520.96,0.0799999999999983
2021-03-01,14593,127.79,0.053851,116182712.0,16788096.0,127.79,127.8,NVDA,2145350787.8400002,0.009999999999990905
2021-03-02,14593,125.12,-0.020894,102197605.0,16788096.0,125.16,125.17,NVDA,2100526571.52,0.010000000000005116
2021-03-03,14593,122.06,-0.024457,112878055.0,16788096.0,122.06,122.07,NVDA,2049154997.76,0.009999999999990905
2021-03-04,14593,120.13,-0.015812,178012291.0,16788096.0,120.22,120.25,NVDA,2016753972.48,0.030000000000001137
2021-03-05,14593,121.42,0.010738,153612894.0,16788096.0,121.38,121.41,NVDA,2038410616.32,0.030000000000001137
2021-03-08,14593,116.36,-0.041674,154275852.0,16788096.0,116.39,116.4,NVDA,1953462850.56,0.010000000000005116
2021-03-09,14593,121.085,0.040607,129396599.0,16788096.0,121.08,121.09,NVDA,2032786604.1599998,0.010000000000005116
2021-03-10,14593,119.98,-0.009126,111859318.0,16788096.0,119.97,119.98,NVDA,2014235758.0800002,0.010000000000005116
2021-03-11,14593,121.96,0.016503,102938841.0,16788096.0,121.95,121.96,NVDA,2047476188.1599998,0.009999999999990905
2021-03-12,14593,121.03,-0.007625,88049545.0,16788096.0,121.05,121.06,NVDA,2031863258.88,0.010000000000005116
2021-03-15,14593,123.99,0.024457,92554930.0,16788096.0,123.99,124.0,NVDA,2081556023.04,0.010000000000005116
2021-03-16,14593,125.57,0.012743,115148387.0,16788096.0,125.56,125.57,NVDA,2108081214.7199998,0.009999999999990905
2021-03-17,14593,124.76,-0.006451,111850179.0,16788096.0,124.78,124.81,NVDA,2094482856.96,0.030000000000001137
2021-03-18,14593,120.53,-0.033905,121360054.0,16788096.0,120.54,120.55,NVDA,2023469210.88,0.009999999999990905
2021-03-19,14593,119.99,-0.00448,185471502.0,16788096.0,119.85,119.87,NVDA,2014403639.04,0.020000000000010232
2021-03-22,14593,123.39,0.028336,111853557.0,16788096.0,123.39,123.4,NVDA,2071483165.44,0.010000000000005116
2021-03-23,14593,122.54,-0.006889,95406081.0,16788096.0,122.54,122.55,NVDA,2057213283.8400002,0.009999999999990905
2021-03-24,14593,120.09,-0.019994,88498035.0,16788096.0,120.07,120.08,NVDA,2016082448.64,0.010000000000005116
2021-03-25,14593,120.59,0.004164,98796267.0,16788096.0,120.59,120.61,NVDA,2024476496.64,0.01999999999999602
2021-03-26,14593,121.21,0.005141,93985444.0,16686305.0,121.2,121.21,NVDA,2022547029.05,0.009999999999990905
2021-03-29,14593,121.39,0.001485,80783396.0,16686305.0,121.39,121.4,NVDA,2025550563.95,0.010000000000005116
2021-03-30,14593,119.9,-0.012275,85639493.0,16686305.0,119.96,119.99,NVDA,2000687969.5,0.030000000000001137
2021-03-31,14593,122.15,0.018766,118233891.0,16686305.0,122.17,122.19,NVDA,2038232155.75,0.01999999999999602
2021-04-01,14593,123.0,0.006959,75009453.0,16686305.0,122.99,123.0,NVDA,2052415515.0,0.010000000000005116
2021-04-05,14593,125.9,0.023577,88607585.0,16686305.0,125.9,125.91,NVDA,2100805799.5,0.009999999999990905
2021-04-06,14593,126.21,0.002462,80113038.0,16686305.0,126.23,126.24,NVDA,2105978554.05,0.009999999999990905
2021-04-07,14593,127.9,0.01339,83423902.0,16686305.0,127.9,127.92,NVDA,2134178409.5,0.01999999999999602
2021-04-08,14593,130.36,0.019234,88836712.0,16686305.0,130.37,130.38,NVDA,2175226719.8,0.009999999999990905
2021-04-09,14593,132.995,0.020213,106616806.0,16686305.0,132.99001,133.0,NVDA,2219195133.475,0.009989999999987731
2021-04-12,14593,131.24001,-0.013196,91379660.0,16686305.0,131.25,131.25999,NVDA,2189910835.0630503,0.009989999999987731
2021-04-13,14593,134.42999,0.024307,91200523.0,16686305.0,134.39999,134.41,NVDA,2243139814.28695,0.01000999999999408
2021-04-14,14593,132.03,-0.017853,87172478.0,16686305.0,132.11,132.14999,NVDA,2203092849.15,0.03998999999998887
2021-04-15,14593,134.5,0.018708,89274299.0,16686305.0,134.49001,134.5,NVDA,2244308022.5,0.009989999999987731
2021-04-16,14593,134.16,-0.002528,84872857.0,16687631.0,134.14,134.16,NVDA,2238812574.96,0.020000000000010232
2021-04-19,14593,134.84,0.005069,94233786.0,16687631.0,134.85001,134.86,NVDA,2250160164.04,0.009990000000016153
2021-04-20,14593,133.11,-0.01283,94749966.0,16687631.0,133.12,133.13,NVDA,2221290562.4100003,0.009999999999990905
2021-04-21,14593,133.5,0.00293,68809932.0,16687631.0,133.49001,133.5,NVDA,2227798738.5,0.009989999999987731
2021-04-22,14593,131.94,-0.011685,84506870.0,16687631.0,131.94,131.95,NVDA,2201766034.14,0.009999999999990905
2021-04-23,14593,134.32001,0.018039,78761275.0,16687631.0,134.3,134.32001,NVDA,2241482762.79631,0.020009999999984984
2021-04-26,14593,134.72,0.002978,66862409.0,16687631.0,134.73,134.75,NVDA,2248157648.32,0.020000000000010232
2021-04-27,14593,134.39,-0.00245,65940835.0,16687631.0,134.35001,134.39,NVDA,2242650730.0899997,0.03998999999998887
2021-04-28,14593,133.58,-0.006027,107719664.0,16687631.0,133.71001,133.87,NVDA,2229133748.98,0.15998999999999342
2021-04-29,14593,133.48,-0.000749,150986138.0,16687631.0,133.48,133.49001,NVDA,2227464985.8799996,0.010010000000022501
